Taget:	Current:	Delta:	PWM:	pp:	ip:	dp:	Time: 			Initial	tcGoal	rtLow	rtHigh		kp	Ki	kd
50	51,5	-1,5	71,377	-1,5	72,877	0	81,918										
50	51,5	-1,5	71,327	-1,5	72,827	0	82,251										
50	51,5	-1,5	71,277	-1,5	72,777	0	82,584										
50	51,5	-1,5	71,227	-1,5	72,727	0	82,917										
50	51,5	-1,5	71,177	-1,5	72,677	0	83,25										
50	51,5	-1,5	71,127	-1,5	72,627	0	83,583										
50	51,5	-1,5	71,077	-1,5	72,577	0	83,916										
50	51,5	-1,5	71,027	-1,5	72,527	0	84,249										
50	51,5	-1,5	70,978	-1,5	72,478	0	84,582										
50	51,5	-1,5	70,928	-1,5	72,428	0	84,915										
50	52	-2	70,361	-2	72,361	0	85,248										
50	52	-2	70,294	-2	72,294	0	85,581										
50	52	-2	70,228	-2	72,228	0	85,914										
50	52	-2	70,161	-2	72,161	0	86,247										
50	52	-2	70,095	-2	72,095	0	86,58										
50	52	-2	70,028	-2	72,028	0	86,913										
50	52	-2	69,961	-2	71,961	0	87,246										
50	52	-2	69,895	-2	71,895	0	87,579										
50	52	-2	69,828	-2	71,828	0	87,912										
50	52	-2	69,762	-2	71,762	0	88,245										
50	52	-2	69,695	-2	71,695	0	88,578										
50	52	-2	69,628	-2	71,628	0	88,911										
50	52	-2	69,562	-2	71,562	0	89,244										
50	52	-2	69,495	-2	71,495	0	89,577										
50	52	-2	69,429	-2	71,429	0	89,91										
50	52,5	-2,5	68,845	-2,5	71,345	0	90,243										
50	52,5	-2,5	68,762	-2,5	71,262	0	90,576										
50	52,5	-2,5	68,679	-2,5	71,179	0	90,909										
50	52,5	-2,5	68,596	-2,5	71,096	0	91,242										
50	52,5	-2,5	68,512	-2,5	71,012	0	91,575										
50	52,5	-2,5	68,429	-2,5	70,929	0	91,908										
50	52,5	-2,5	68,346	-2,5	70,846	0	92,241										
50	52,5	-2,5	68,263	-2,5	70,763	0	92,574										
50	52,5	-2,5	68,179	-2,5	70,679	0	92,907										
50	52,5	-2,5	68,096	-2,5	70,596	0	93,24										
50	52,5	-2,5	68,013	-2,5	70,513	0	93,573										
50	52,5	-2,5	67,929	-2,5	70,429	0	93,906										
50	52,5	-2,5	67,846	-2,5	70,346	0	94,239										
50	52,5	-2,5	67,763	-2,5	70,263	0	94,572										
50	52,5	-2,5	67,68	-2,5	70,18	0	94,905										
50	52,5	-2,5	67,596	-2,5	70,096	0	95,238										
50	52,5	-2,5	67,513	-2,5	70,013	0	95,571										
50	52,5	-2,5	67,43	-2,5	69,93	0	95,904										
50	52,5	-2,5	67,347	-2,5	69,847	0	96,237										
50	52,5	-2,5	67,263	-2,5	69,763	0	96,57										
50	53	-3	66,664	-3	69,664	0	96,903										
50	53	-3	66,564	-3	69,564	0	97,236										
50	53	-3	66,464	-3	69,464	0	97,569										
50	53	-3	66,364	-3	69,364	0	97,902										
50	53	-3	66,264	-3	69,264	0	98,235										
50	53	-3	66,164	-3	69,164	0	98,568										
50	53	-3	66,064	-3	69,064	0	98,901										
50	53	-3	65,964	-3	68,964	0	99,234										
50	53	-3	65,864	-3	68,864	0	99,567										
50	53	-3	65,764	-3	68,764	0	99,9										
50	53	-3	65,665	-3	68,665	0	100,233										
50	53	-3	65,565	-3	68,565	0	100,566										
50	53	-3	65,465	-3	68,465	0	100,899										
50	53	-3	65,365	-3	68,365	0	101,232										
50	53	-3	65,265	-3	68,265	0	101,565										
50	53	-3	65,165	-3	68,165	0	101,898										
50	53	-3	65,065	-3	68,065	0	102,231										
