Taget:;Current:;Delta:;PWM:;pp:;ip:;dp:
50,0;48,5;1,5;67,103;3,000;64,103;0,000
50,0;48,5;1,5;67,152;3,000;64,152;0,000
50,0;49,0;1,0;66,036;2,000;64,186;-0,150
50,0;49,0;1,0;66,219;2,000;64,219;0,000
50,0;49,0;1,0;66,252;2,000;64,252;0,000
50,0;49,0;1,0;66,286;2,000;64,286;0,000
50,0;49,0;1,0;66,319;2,000;64,319;0,000
50,0;49,0;1,0;66,352;2,000;64,352;0,000
50,0;49,0;1,0;66,386;2,000;64,386;0,000
50,0;49,0;1,0;66,419;2,000;64,419;0,000
50,0;49,0;1,0;66,452;2,000;64,452;0,000
50,0;49,0;1,0;66,485;2,000;64,485;0,000
50,0;49,0;1,0;66,519;2,000;64,519;0,000
50,0;49,5;0,5;65,385;1,000;64,535;-0,150
50,0;49,5;0,5;65,552;1,000;64,552;0,000
50,0;49,5;0,5;65,569;1,000;64,569;0,000
50,0;49,5;0,5;65,585;1,000;64,585;0,000
50,0;49,5;0,5;65,602;1,000;64,602;0,000
50,0;49,5;0,5;65,619;1,000;64,619;0,000
50,0;49,5;0,5;65,635;1,000;64,635;0,000
50,0;49,5;0,5;65,652;1,000;64,652;0,000
50,0;49,5;0,5;65,669;1,000;64,669;0,000
50,0;49,5;0,5;65,685;1,000;64,685;0,000
50,0;49,5;0,5;65,702;1,000;64,702;0,000
50,0;49,5;0,5;65,719;1,000;64,719;0,000
50,0;49,5;0,5;65,735;1,000;64,735;0,000
50,0;50,0;0,0;64,585;0,000;64,735;-0,150
50,0;50,0;0,0;64,735;0,000;64,735;0,000
50,0;50,0;0,0;64,735;0,000;64,735;0,000
50,0;50,0;0,0;64,735;0,000;64,735;0,000
50,0;50,0;0,0;64,735;0,000;64,735;0,000
50,0;50,0;0,0;64,735;0,000;64,735;0,000
50,0;50,0;0,0;64,735;0,000;64,735;0,000
50,0;50,0;0,0;64,735;0,000;64,735;0,000
50,0;50,0;0,0;64,735;0,000;64,735;0,000
50,0;50,0;0,0;64,735;0,000;64,735;0,000
50,0;50,0;0,0;64,735;0,000;64,735;0,000
50,0;50,0;0,0;64,735;0,000;64,735;0,000
50,0;50,0;0,0;64,735;0,000;64,735;0,000
50,0;50,0;0,0;64,735;0,000;64,735;0,000
50,0;50,0;0,0;64,735;0,000;64,735;0,000
50,0;50,5;-0,5;63,568;-1,000;64,719;-0,150
50,0;50,5;-0,5;63,702;-1,000;64,702;0,000
50,0;50,5;-0,5;63,685;-1,000;64,685;0,000
50,0;50,5;-0,5;63,669;-1,000;64,669;0,000
50,0;50,5;-0,5;63,652;-1,000;64,652;0,000
50,0;50,5;-0,5;63,635;-1,000;64,635;0,000
50,0;50,5;-0,5;63,619;-1,000;64,619;0,000
50,0;50,5;-0,5;63,602;-1,000;64,602;0,000
50,0;50,5;-0,5;63,585;-1,000;64,585;0,000
50,0;50,5;-0,5;63,569;-1,000;64,569;0,000
50,0;50,5;-0,5;63,552;-1,000;64,552;0,000
50,0;50,5;-0,5;63,535;-1,000;64,535;0,000
50,0;50,5;-0,5;63,519;-1,000;64,519;0,000
50,0;50,5;-0,5;63,502;-1,000;64,502;0,000
50,0;50,5;-0,5;63,485;-1,000;64,485;0,000
50,0;50,5;-0,5;63,469;-1,000;64,469;0,000
50,0;50,5;-0,5;63,452;-1,000;64,452;0,000
50,0;51,0;-1,0;62,269;-2,000;64,419;-0,150
50,0;51,0;-1,0;62,386;-2,000;64,386;0,000
50,0;51,0;-1,0;62,352;-2,000;64,352;0,000
50,0;51,0;-1,0;62,319;-2,000;64,319;0,000
50,0;51,0;-1,0;62,286;-2,000;64,286;0,000
50,0;51,0;-1,0;62,252;-2,000;64,252;0,000
50,0;51,0;-1,0;62,219;-2,000;64,219;0,000
50,0;51,0;-1,0;62,186;-2,000;64,186;0,000
50,0;51,0;-1,0;62,152;-2,000;64,152;0,000
50,0;51,0;-1,0;62,119;-2,000;64,119;0,000
50,0;51,0;-1,0;62,086;-2,000;64,086;0,000
50,0;51,0;-1,0;62,053;-2,000;64,053;0,000
50,0;51,0;-1,0;62,019;-2,000;64,019;0,000
50,0;51,0;-1,0;61,986;-2,000;63,986;0,000
50,0;51,0;-1,0;61,953;-2,000;63,953;0,000
50,0;51,0;-1,0;61,919;-2,000;63,919;0,000
50,0;51,0;-1,0;61,886;-2,000;63,886;0,000
50,0;51,0;-1,0;61,853;-2,000;63,853;0,000
50,0;51,0;-1,0;61,819;-2,000;63,819;0,000
50,0;51,0;-1,0;61,786;-2,000;63,786;0,000
50,0;51,0;-1,0;61,753;-2,000;63,753;0,000
50,0;51,0;-1,0;61,720;-2,000;63,720;0,000
50,0;51,0;-1,0;61,686;-2,000;63,686;0,000
50,0;51,0;-1,0;61,653;-2,000;63,653;0,000
50,0;51,5;-1,5;60,453;-3,000;63,603;-0,150
50,0;51,0;-1,0;61,720;-2,000;63,570;0,150
50,0;51,0;-1,0;61,536;-2,000;63,536;0,000
50,0;51,0;-1,0;61,503;-2,000;63,503;0,000
50,0;51,0;-1,0;61,470;-2,000;63,470;0,000
50,0;51,0;-1,0;61,436;-2,000;63,436;0,000
50,0;51,0;-1,0;61,403;-2,000;63,403;0,000
50,0;51,0;-1,0;61,370;-2,000;63,370;0,000
50,0;51,0;-1,0;61,337;-2,000;63,337;0,000
50,0;51,0;-1,0;61,303;-2,000;63,303;0,000
50,0;51,0;-1,0;61,270;-2,000;63,270;0,000
50,0;51,5;-1,5;60,070;-3,000;63,220;-0,150
50,0;51,5;-1,5;60,170;-3,000;63,170;0,000
50,0;51,5;-1,5;60,120;-3,000;63,120;0,000
50,0;51,5;-1,5;60,070;-3,000;63,070;0,000
50,0;51,5;-1,5;60,020;-3,000;63,020;0,000
50,0;51,5;-1,5;59,970;-3,000;62,970;0,000
50,0;51,5;-1,5;59,920;-3,000;62,920;0,000
50,0;51,5;-1,5;59,870;-3,000;62,870;0,000
50,0;51,5;-1,5;59,820;-3,000;62,820;0,000
50,0;51,5;-1,5;59,770;-3,000;62,770;0,000
50,0;51,5;-1,5;59,721;-3,000;62,721;0,000
50,0;51,5;-1,5;59,671;-3,000;62,671;0,000
50,0;51,5;-1,5;59,621;-3,000;62,621;0,000
50,0;51,5;-1,5;59,571;-3,000;62,571;0,000
50,0;51,5;-1,5;59,521;-3,000;62,521;0,000
50,0;51,5;-1,5;59,471;-3,000;62,471;0,000
50,0;51,5;-1,5;59,421;-3,000;62,421;0,000
50,0;51,5;-1,5;59,371;-3,000;62,371;0,000
50,0;51,5;-1,5;59,321;-3,000;62,321;0,000
50,0;51,5;-1,5;59,271;-3,000;62,271;0,000
50,0;51,5;-1,5;59,221;-3,000;62,221;0,000
50,0;51,5;-1,5;59,171;-3,000;62,171;0,000
50,0;51,5;-1,5;59,121;-3,000;62,121;0,000
50,0;51,5;-1,5;59,071;-3,000;62,071;0,000
50,0;51,5;-1,5;59,021;-3,000;62,021;0,000
50,0;51,5;-1,5;58,971;-3,000;61,971;0,000
50,0;51,5;-1,5;58,921;-3,000;61,921;0,000
50,0;51,5;-1,5;58,871;-3,000;61,871;0,000
50,0;51,5;-1,5;58,821;-3,000;61,821;0,000
50,0;51,5;-1,5;58,771;-3,000;61,771;0,000
50,0;51,5;-1,5;58,722;-3,000;61,722;0,000
50,0;51,5;-1,5;58,672;-3,000;61,672;0,000
50,0;51,5;-1,5;58,622;-3,000;61,622;0,000
50,0;51,5;-1,5;58,572;-3,000;61,572;0,000
50,0;51,5;-1,5;58,522;-3,000;61,522;0,000
50,0;51,5;-1,5;58,472;-3,000;61,472;0,000
50,0;51,5;-1,5;58,422;-3,000;61,422;0,000
50,0;51,5;-1,5;58,372;-3,000;61,372;0,000
50,0;51,5;-1,5;58,322;-3,000;61,322;0,000
50,0;51,5;-1,5;58,272;-3,000;61,272;0,000
50,0;51,5;-1,5;58,222;-3,000;61,222;0,000
